,_id,title,artist,song_id,analysis,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,k_cluster
1626,62301a500d44552013980fe4,What A Fool I've Been,Carla Thomas,6XfdkCZNTs5GtSbYLLsaaG,"[  0.33     0.401    0.362    0.      10.       0.104  -10.71     1.
   0.0297]",0.33,0.401,0.362,0.0,10.0,0.104,-10.71,1.0,0.0297,3.0
1627,62301a590d44552013980fed,"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",Allan Sherman,1WvcgDbT79xeAa7Mv0klkK,[  0.875   0.591   0.337   0.      9.      0.64  -13.186   1.      0.193],0.875,0.591,0.337,0.0,9.0,0.64,-13.186,1.0,0.193,3.0
1628,62301a5c0d44552013980ff2,My Boyfriend's Back,The Angels,5NiFSI8iIDtVm1NCwdYrHS,[ 0.629  0.683  0.885  0.     3.     0.075 -6.099  1.     0.155],0.629,0.683,0.885,0.0,3.0,0.075,-6.099,1.0,0.155,4.0
1629,62301a620d44552013980ffb,If I Had A Hammer,Trini Lopez,44Btht5msS0IQ7o2DZuFdu,[ 0.623   0.468   0.933   0.     11.      0.952  -8.937   0.      0.0852],0.623,0.468,0.933,0.0,11.0,0.952,-8.937,0.0,0.0852,1.0
1630,62301a660d44552013981001,"Hey, Girl",Freddie Scott,3vZyw7jyBpwgIEExgEOGJd,"[ 7.4500e-01  3.9400e-01  2.9700e-01  1.9300e-05  5.0000e+00  1.7600e-01
 -1.2867e+01  1.0000e+00  2.6100e-02]",0.745,0.394,0.297,1.93e-05,5.0,0.176,-12.867,1.0,0.0261,4.0
1631,62301a6c0d4455201398100a,Surfer Girl,The Beach Boys,1AJ5F0FMTC3yFU3ocjy1gE,[ 0.651   0.522   0.37    0.      2.      0.142  -8.364   1.      0.0253],0.651,0.522,0.37,0.0,2.0,0.142,-8.364,1.0,0.0253,4.0
1632,62301a710d44552013981012,Heat Wave,Martha & The Vandellas,6o8wm1w9wqOui0rZ2fyfQk,"[ 6.110e-01  5.190e-01  8.080e-01  7.180e-04  5.000e+00  7.470e-01
 -5.536e+00  0.000e+00  4.490e-02]",0.611,0.519,0.808,0.000718,5.0,0.747,-5.536,0.0,0.0449,6.0
1633,62301a740d44552013981017,"Painted, Tainted Rose",Al Martino,5f4LwMkyw5ldc4TCrvDoy6,"[ 5.8000e-01  3.4800e-01  3.0900e-01  3.8500e-06  7.0000e+00  3.3400e-01
 -1.3268e+01  1.0000e+00  2.8800e-02]",0.58,0.348,0.309,3.85e-06,7.0,0.334,-13.268,1.0,0.0288,3.0
1634,62301a7f0d44552013981026,The Dreamer,Neil Sedaka,01ti2HFHInilWhcII7oyeX,[ 0.255   0.594   0.771   0.     11.      0.409  -7.391   1.      0.0448],0.255,0.594,0.771,0.0,11.0,0.409,-7.391,1.0,0.0448,0.0
1635,62301a800d44552013981029,Desert Pete,The Kingston Trio,5lNr9K4K75gxB655d9Ndcy,"[  0.785    0.697    0.498    0.       4.       0.365  -13.166    1.
   0.0675]",0.785,0.697,0.498,0.0,4.0,0.365,-13.166,1.0,0.0675,4.0
1636,62301a820d4455201398102d,Blue Velvet,Bobby Vinton,4QelFzhVgLomeQhvKrwM1S,[ 0.862   0.376   0.246   0.     10.      0.155  -9.803   1.      0.0286],0.862,0.376,0.246,0.0,10.0,0.155,-9.803,1.0,0.0286,3.0
1637,62301a840d44552013981030,You Can Never Stop Me Loving You,Johnny Tillotson,0W3oATzoAqEAkYLuKdAp03,[ 0.761   0.595   0.327   0.      5.      0.1    -7.711   1.      0.0396],0.761,0.595,0.327,0.0,5.0,0.1,-7.711,1.0,0.0396,4.0
1638,62301a850d44552013981033,Hey There Lonely Boy,Ruby And The Romantics,3EyO59J9LIkMD9NgKu0Mhg,[ 0.939   0.573   0.369   0.      2.      0.285  -8.965   0.      0.0261],0.939,0.573,0.369,0.0,2.0,0.285,-8.965,0.0,0.0261,6.0
1639,62301a890d4455201398103a,It's Too Late,Wilson Pickett,1ueDEIC7FyoCf7MPRLSCoX,[  0.662   0.42    0.276   0.      0.      0.15  -17.001   1.      0.033],0.662,0.42,0.276,0.0,0.0,0.15,-17.001,1.0,0.033,4.0
1640,62301a8c0d4455201398103e,Martian Hop,The Ran-Dells,2zEXeKw3V6tNJ0j2Xd19z2,"[ 2.050e-01  4.010e-01  9.130e-01  4.590e-04  6.000e+00  1.400e-01
 -2.755e+00  1.000e+00  1.700e-01]",0.205,0.401,0.913,0.000459,6.0,0.14,-2.755,1.0,0.17,0.0
1641,62301a8e0d44552013981042,The Kind Of Boy You Can't Forget,The Raindrops,26j1AFFgKumXtOdcmZX3YF,"[  0.7      0.552    0.674    0.       7.       0.29   -10.34     1.
   0.0644]",0.7,0.552,0.674,0.0,7.0,0.29,-10.34,1.0,0.0644,3.0
1642,62301a900d44552013981046,Everybody Monkey,Freddy Cannon,6HROMYV69bB8qzrAdQoKaM,"[ 2.590e-01  5.220e-01  8.260e-01  2.340e-06  8.000e+00  5.810e-02
 -4.733e+00  1.000e+00  3.400e-02]",0.259,0.522,0.826,2.34e-06,8.0,0.0581,-4.733,1.0,0.034,0.0
1643,62301a940d4455201398104d,Then He Kissed Me,The Crystals,7jeOETwLUP84mPQzxlD5nh,"[ 7.000e-01  4.310e-01  6.780e-01  6.370e-06  4.000e+00  1.990e-01
 -7.945e+00  1.000e+00  3.650e-02]",0.7,0.431,0.678,6.37e-06,4.0,0.199,-7.945,1.0,0.0365,4.0
1644,62301a980d44552013981053,My Daddy Knows Best,The Marvelettes,0XnePuhsh6Z2txXwWbM8dB,"[ 6.800e-01  7.860e-01  7.560e-01  2.220e-05  3.000e+00  2.390e-01
 -6.697e+00  1.000e+00  3.390e-02]",0.68,0.786,0.756,2.22e-05,3.0,0.239,-6.697,1.0,0.0339,4.0
1645,62301a990d44552013981056,Lucky Lips,Cliff Richard,4xHXqIwdjXRYJvwT8HNByt,[  0.793   0.686   0.481   0.      4.      0.216 -12.25    1.      0.045],0.793,0.686,0.481,0.0,4.0,0.216,-12.25,1.0,0.045,4.0
1646,62301a9a0d44552013981059,Daughter,The Blenders,7lKJR80q1kJJXZupkR4ahk,[ 0.819   0.705   0.658   0.      7.      0.0955 -9.072   1.      0.0577],0.819,0.705,0.658,0.0,7.0,0.0955,-9.072,1.0,0.0577,3.0
1647,62301a9c0d4455201398105c,Pay Back,Etta James,7DKgWPTVrXzfIG6Gv9Cah7,"[ 7.630e-01  7.340e-01  7.270e-01  2.060e-04  9.000e+00  2.770e-01
 -6.849e+00  0.000e+00  7.820e-02]",0.763,0.734,0.727,0.000206,9.0,0.277,-6.849,0.0,0.0782,6.0
1648,62301a9e0d44552013981060,Little Deuce Coupe,The Beach Boys,75WMOzv7195ziyx0qEw1yE,"[ 6.220e-01  6.650e-01  7.010e-01  6.480e-05  8.000e+00  1.410e-01
 -6.607e+00  1.000e+00  3.290e-02]",0.622,0.665,0.701,6.48e-05,8.0,0.141,-6.607,1.0,0.0329,3.0
1649,62301a9f0d44552013981063,The Lonely Surfer,Jack Nitzsche,0CxWbbbU0PB7ccm6CgHnrf,"[  0.33     0.301    0.634    0.552    5.       0.167  -10.432    1.
   0.0397]",0.33,0.301,0.634,0.552,5.0,0.167,-10.432,1.0,0.0397,2.0
1650,62301aa10d44552013981066,A Breath Taking Guy,The Supremes,1ePIjPuiQvrLKKYJhW7dPh,[ 0.908  0.607  0.517  0.     2.     0.158 -7.566  1.     0.032],0.908,0.607,0.517,0.0,2.0,0.158,-7.566,1.0,0.032,4.0
1651,62301aa20d44552013981069,Dum Dum Dee Dum,Johnny Cymbal,3Z7V4IkrhEKYp1MTK3wwuB,"[  0.0337   0.663    0.498    0.       2.       0.0431 -13.473    1.
   0.0376]",0.0337,0.663,0.498,0.0,2.0,0.0431,-13.473,1.0,0.0376,5.0
