danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,
0.311,0.656,4,-6.752,1,0.0952,0.163,7.05e-06,0.126,0.297,188.171,audio_features,3wT3WDdQrsST19f1I08Z1N,spotify:track:3wT3WDdQrsST19f1I08Z1N,https://api.spotify.com/v1/tracks/3wT3WDdQrsST19f1I08Z1N,https://api.spotify.com/v1/audio-analysis/3wT3WDdQrsST19f1I08Z1N,218987,4,
0.5,0.446,0,-7.7,0,0.0338,0.382,4.83e-06,0.159,0.154,86.425,audio_features,1iugFsBigGHtRwvFVDG9oo,spotify:track:1iugFsBigGHtRwvFVDG9oo,https://api.spotify.com/v1/tracks/1iugFsBigGHtRwvFVDG9oo,https://api.spotify.com/v1/audio-analysis/1iugFsBigGHtRwvFVDG9oo,277653,4,
0.379,0.373,3,-12.176,0,0.0309,0.895,0.0718,0.115,0.352,176.002,audio_features,2iQYqdalv245vrCEM4W9N9,spotify:track:2iQYqdalv245vrCEM4W9N9,https://api.spotify.com/v1/tracks/2iQYqdalv245vrCEM4W9N9,https://api.spotify.com/v1/audio-analysis/2iQYqdalv245vrCEM4W9N9,259253,1,
0.395,0.27,1,-10.672,1,0.0309,0.937,0.00249,0.111,0.314,120.94,audio_features,0AaV4MJrgmLV3XhoiWXjjb,spotify:track:0AaV4MJrgmLV3XhoiWXjjb,https://api.spotify.com/v1/tracks/0AaV4MJrgmLV3XhoiWXjjb,https://api.spotify.com/v1/audio-analysis/0AaV4MJrgmLV3XhoiWXjjb,304107,5,
0.465,0.269,0,-12.14,1,0.0311,0.791,7.51e-06,0.139,0.184,131.391,audio_features,28jCwARf1gYfHtTHmJJNHQ,spotify:track:28jCwARf1gYfHtTHmJJNHQ,https://api.spotify.com/v1/tracks/28jCwARf1gYfHtTHmJJNHQ,https://api.spotify.com/v1/audio-analysis/28jCwARf1gYfHtTHmJJNHQ,318493,3,
0.647,0.272,5,-12.906,1,0.0916,0.918,1.73e-05,0.0918,0.339,150.044,audio_features,7MbT4I8qGntX4fMdqMQgke,spotify:track:7MbT4I8qGntX4fMdqMQgke,https://api.spotify.com/v1/tracks/7MbT4I8qGntX4fMdqMQgke,https://api.spotify.com/v1/audio-analysis/7MbT4I8qGntX4fMdqMQgke,234000,4,
0.539,0.179,7,-14.33,1,0.0309,0.921,0.393,0.106,0.145,140.01,audio_features,57V4uc2b2diZ4RPHXWecb9,spotify:track:57V4uc2b2diZ4RPHXWecb9,https://api.spotify.com/v1/tracks/57V4uc2b2diZ4RPHXWecb9,https://api.spotify.com/v1/audio-analysis/57V4uc2b2diZ4RPHXWecb9,198027,3,
0.653,0.452,4,-11.143,0,0.055,0.838,7.73e-05,0.108,0.45,83.433,audio_features,6VsvKPJ4xjVNKpI8VVZ3SV,spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV,https://api.spotify.com/v1/tracks/6VsvKPJ4xjVNKpI8VVZ3SV,https://api.spotify.com/v1/audio-analysis/6VsvKPJ4xjVNKpI8VVZ3SV,252881,4,
0.507,0.651,8,-4.937,1,0.194,0.676,1.55e-05,0.0642,0.7,98.995,audio_features,5S6O5UYDS2dxVTY7JSF9xy,spotify:track:5S6O5UYDS2dxVTY7JSF9xy,https://api.spotify.com/v1/tracks/5S6O5UYDS2dxVTY7JSF9xy,https://api.spotify.com/v1/audio-analysis/5S6O5UYDS2dxVTY7JSF9xy,317879,4,
0.575,0.435,5,-8.193,1,0.0311,0.737,5.38e-05,0.105,0.351,145.91,audio_features,4GBkffrtA51p17JH35irGA,spotify:track:4GBkffrtA51p17JH35irGA,https://api.spotify.com/v1/tracks/4GBkffrtA51p17JH35irGA,https://api.spotify.com/v1/audio-analysis/4GBkffrtA51p17JH35irGA,229840,4,
0.625,0.939,4,-3.115,0,0.0669,0.00138,0,0.424,0.644,102.999,audio_features,776AftMmFFAWUIEAb3lHhw,spotify:track:776AftMmFFAWUIEAb3lHhw,https://api.spotify.com/v1/tracks/776AftMmFFAWUIEAb3lHhw,https://api.spotify.com/v1/audio-analysis/776AftMmFFAWUIEAb3lHhw,194787,4,
0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,1CS7Sd1u5tWkstBhpssyjP,spotify:track:1CS7Sd1u5tWkstBhpssyjP,https://api.spotify.com/v1/tracks/1CS7Sd1u5tWkstBhpssyjP,https://api.spotify.com/v1/audio-analysis/1CS7Sd1u5tWkstBhpssyjP,241693,4,
0.391,0.374,2,-11.914,0,0.0763,0.754,0.000209,0.157,0.28,94.887,audio_features,3nOSvfxdOeIAaUYO0KMYox,spotify:track:3nOSvfxdOeIAaUYO0KMYox,https://api.spotify.com/v1/tracks/3nOSvfxdOeIAaUYO0KMYox,https://api.spotify.com/v1/audio-analysis/3nOSvfxdOeIAaUYO0KMYox,221159,4,
